original,fixed
 AN GIANG,An Giang
AN GIANG,An Giang
An Giang,An Giang
An Giang,An Giang
AN GIANG,An Giang
+//0Awv/9AKA-An Giang,An Giang
+//0Awv/9AKA-AN GIANG,An Giang
+//0A7//9AL///QC9-An Giang,An Giang
+//0A7//9AL///QC9-AN GIANG,An Giang
 B+//0Aw//9AIA- R+//0A4f/9ALv//QCK-A +AC0- V+//0Axf/9AKg-NG T+//0Aw//9AIA-U,Ba Ria +AC0- Vung Tau
 B+//0A7//9AL///QC9- R+ADw-U+1ED//QA+-A +AC0- VUNG T+//0A7//9AL///QC9-U,Ba Ria +AC0- Vung Tau
Ba Ria Vung Tau,Ba Ria +AC0- Vung Tau
BRVT,Ba Ria +AC0- Vung Tau
B+//0Aw//9AKA- R+//0A4f/9ALv//QCL-a +AC0- V+//0Axf/9AKk-ng T+//0Aw//9AKA-u,Ba Ria +AC0- Vung Tau
B+//0Aw//9AKA- R+//0A4f/9ALv//QCL-a +//0A4v/9AID//QCT- V+//0Axf/9AKk-ng T+//0Aw//9AKA-u,Ba Ria +AC0- Vung Tau
B+//0Aw//9AIA- R+//0A4f/9ALv//QCK-A +AC0- V+//0Axf/9AKg-NG T+//0Aw//9AIA-U,Ba Ria +AC0- Vung Tau
B+//0A7//9AL///QC9- R+ADw-U+1ED//QA+-A +AC0- VUNG T+//0A7//9AL///QC9-U,Ba Ria +AC0- Vung Tau
B+//0A7//9AL///QC9- R+ADw-U+1ED//QA+-a +AC0- Vung T+//0A7//9AL///QC9-u,Ba Ria +AC0- Vung Tau
+//0Awv/9AKA-B+//0Aw//9AKA- R+//0A4f/9ALv//QCL-a +AC0- V+//0Axf/9AKk-ng T+//0Aw//9AKA-u,Ba Ria +AC0- Vung Tau
+//0Awv/9AKA-B+//0Aw//9AIA- R+//0A4f/9ALv//QCK-A +AC0- V+//0Axf/9AKg-NG T+//0Aw//9AIA-U,Ba Ria +AC0- Vung Tau
+//0A7//9AL///QC9-B+//0A7//9AL///QC9- R+ADw-U+1ED//QA+-A +AC0- VUNG T+//0A7//9AL///QC9-U,Ba Ria +AC0- Vung Tau
+//0A7//9AL///QC9-B+//0A7//9AL///QC9- R+ADw-U+1ED//QA+-a +AC0- Vung T+//0A7//9AL///QC9-u,Ba Ria +AC0- Vung Tau
 B+ADw-U+1ED//QA+-C GIANG,Bac Giang
 B+//0A4f/9ALr//QCu-C GIANG,Bac Giang
B+ADw-U+1ED//QA+-C GIANG,Bac Giang
B+ADw-U+1ED//QA+-c Giang,Bac Giang
B+//0A4f/9ALr//QCv-c Giang,Bac Giang
B+//0A4f/9ALr//QCu-C GIANG,Bac Giang
+//0Awv/9AKA-B+//0A4f/9ALr//QCv-c Giang,Bac Giang
+//0Awv/9AKA-B+//0A4f/9ALr//QCu-C GIANG,Bac Giang
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-C GIANG,Bac Giang
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-c Giang,Bac Giang
 B+ADw-U+1ED//QA+-C K+ADw-U+1ED//QA+-N,Bac Kan
 B+//0A4f/9ALr//QCu-C K+//0A4f/9ALr//QCg-N,Bac Kan
B+ADw-U+1ED//QA+-C C+ADw-U+1ED//QA+-N,Bac Kan
B+ADw-U+1ED//QA+-c C+ADw-U+1ED//QA+-n,Bac Kan
B+ADw-U+1ED//QA+-C K+ADw-U+1ED//QA+-N,Bac Kan
B+ADw-U+1ED//QA+-c K+ADw-U+1ED//QA+-n,Bac Kan
Bac Can,Bac Kan
B+AQMDAQ-c Ka+AyM-n,Bac Kan
B+//0A4f/9ALr//QCv-c C+//0A4f/9ALr//QCh-n,Bac Kan
B+//0A4f/9ALr//QCv-c K+//0A4f/9ALr//QCh-n,Bac Kan
B+//0A4f/9ALr//QCu-C C+//0A4f/9ALr//QCg-N,Bac Kan
B+//0A4f/9ALr//QCu-C K+//0A4f/9ALr//QCg-N,Bac Kan
+//0Awv/9AKA-B+//0A4f/9ALr//QCv-c K+//0A4f/9ALr//QCh-n,Bac Kan
+//0Awv/9AKA-B+//0A4f/9ALr//QCu-C C+//0A4f/9ALr//QCg-N,Bac Kan
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-C C+ADw-U+1ED//QA+-N,Bac Kan
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-c K+ADw-U+1ED//QA+-n,Bac Kan
 B+ADw-U+1ED//QA+-C LI+//0A7//9AL///QC9-U,Bac Lieu
 B+//0A4f/9ALr//QCg-C LI+//0Aw//9AIo-U,Bac Lieu
B+ADw-U+1ED//QA+-C LI+//0A7//9AL///QC9-U,Bac Lieu
B+ADw-U+1ED//QA+-c Li+//0A7//9AL///QC9-u,Bac Lieu
Ba+AyM-c Li+AOo-u,Bac Lieu
B+//0A4f/9ALr//QCg-C LI+//0Aw//9AIo-U,Bac Lieu
B+//0A4f/9ALr//QCh-c Li+//0Aw//9AKo-u,Bac Lieu
+//0Awv/9AKA-B+//0A4f/9ALr//QCg-C LI+//0Aw//9AIo-U,Bac Lieu
+//0Awv/9AKA-B+//0A4f/9ALr//QCh-c Li+//0Aw//9AKo-u,Bac Lieu
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-C LI+//0A7//9AL///QC9-U,Bac Lieu
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-c Li+//0A7//9AL///QC9-u,Bac Lieu
 B+ADw-U+1ED//QA+-C NINH,Bac Ninh
 B+//0A4f/9ALr//QCu-C NINH,Bac Ninh
B+ADw-U+1ED//QA+-C NINH,Bac Ninh
B+ADw-U+1ED//QA+-c Ninh,Bac Ninh
B+AQMDAQ-c Ninh,Bac Ninh
B+//0A4f/9ALr//QCv-c Ninh,Bac Ninh
B+//0A4f/9ALr//QCu-C NINH,Bac Ninh
+//0Awv/9AKA-B+//0A4f/9ALr//QCv-c Ninh,Bac Ninh
+//0Awv/9AKA-B+//0A4f/9ALr//QCu-C NINH,Bac Ninh
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-C NINH,Bac Ninh
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-c Ninh,Bac Ninh
 B+ADw-U+1ED//QA+-N TRE,Ben Tre
 B+//0A4f/9ALr//QC+-N TRE,Ben Tre
B+ADw-U+1ED//QA+-N TRE,Ben Tre
B+ADw-U+1ED//QA+-n Tre,Ben Tre
B+AOoDAQ-n Tre,Ben Tre
B+//0A4f/9ALr//QC/-n Tre,Ben Tre
B+//0A4f/9ALr//QC+-N TRE,Ben Tre
+//0Awv/9AKA-B+//0A4f/9ALr//QC/-n Tre,Ben Tre
+//0Awv/9AKA-B+//0A4f/9ALr//QC+-N TRE,Ben Tre
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-N TRE,Ben Tre
+//0A7//9AL///QC9-B+ADw-U+1ED//QA+-n Tre,Ben Tre
 B+//0Aw//9AIw-NH +//0AxP/9AJD//QDh//0Au//9AIo-NH,Binh Dinh
 B+//0A7//9AL///QC9-NH +//0A7//9AL///QC9ADw-U+1ED//QA+-NH,Binh Dinh
B+AOw-nh +ARAeyw-nh,Binh Dinh
B+//0Aw//9AKw-nh +//0AxP/9AJD//QDh//0Au//9AIs-nh,Binh Dinh
B+//0Aw//9AIw-NH +//0AxP/9AJD//QDh//0Au//9AIo-NH,Binh Dinh
B+//0A7//9AL///QC9-NH +//0A7//9AL///QC9ADw-U+1ED//QA+-NH,Binh Dinh
B+//0A7//9AL///QC9-nh +//0A7//9AL///QC9ADw-U+1ED//QA+-nh,Binh Dinh
+//0Awv/9AKA-B+//0Aw//9AKw-nh +//0AxP/9AJD//QDh//0Au//9AIs-nh,Binh Dinh
+//0Awv/9AKA-B+//0Aw//9AIw-NH +//0AxP/9AJD//QDh//0Au//9AIo-NH,Binh Dinh
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-NH +//0A7//9AL///QC9ADw-U+1ED//QA+-NH,Binh Dinh
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-nh +//0A7//9AL///QC9ADw-U+1ED//QA+-nh,Binh Dinh
 B+//0Aw//9AIw-NH D+//0Axv/9AK///QDG//0AoA-NG,Binh Duong
 B+//0A7//9AL///QC9-NH DUONG,Binh Duong
B+AOw-nh D+AbABoQ-ng,Binh Duong
B+//0Aw//9AKw-nh D+//0Axv/9ALD//QDG//0AoQ-ng,Binh Duong
B+//0Aw//9AIw-NH D+//0Axv/9AK///QDG//0AoA-NG,Binh Duong
B+//0A7//9AL///QC9-NH DUONG,Binh Duong
B+//0A7//9AL///QC9-nh Duong,Binh Duong
+//0Awv/9AKA-B+//0Aw//9AKw-nh D+//0Axv/9ALD//QDG//0AoQ-ng,Binh Duong
+//0Awv/9AKA-B+//0Aw//9AIw-NH D+//0Axv/9AK///QDG//0AoA-NG,Binh Duong
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-nh Duong,Binh Duong
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-NH DUONG,Binh Duong
 B+//0Aw//9AIw-NH PH+//0Axv/9AK///QDh//0Au//9AJo-C,Binh Phuoc
 B+//0A7//9AL///QC9-NH PHU+ADw-U+1ED//QA+-C,Binh Phuoc
B+AOw-nh Ph+AbAe2w-c,Binh Phuoc
B+//0Aw//9AKw-nh Ph+//0Axv/9ALD//QDh//0Au//9AJs-c,Binh Phuoc
B+//0Aw//9AIw-NH PH+//0Axv/9AK///QDh//0Au//9AJo-C,Binh Phuoc
B+//0A7//9AL///QC9-NH PHU+ADw-U+1ED//QA+-C,Binh Phuoc
B+//0A7//9AL///QC9-nh Phu+ADw-U+1ED//QA+-c,Binh Phuoc
+//0Awv/9AKA-B+//0Aw//9AKw-nh Ph+//0Axv/9ALD//QDh//0Au//9AJs-c,Binh Phuoc
+//0Awv/9AKA-B+//0Aw//9AIw-NH PH+//0Axv/9AK///QDh//0Au//9AJo-C,Binh Phuoc
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-NH PHU+ADw-U+1ED//QA+-C,Binh Phuoc
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-nh Phu+ADw-U+1ED//QA+-c,Binh Phuoc
 B+//0Aw//9AIw-NH THU+//0A4f/9ALr//QCs-N,Binh Thuan
 B+//0A7//9AL///QC9-NH THU+ADw-U+1ED//QA+-N,Binh Thuan
B+AOw-nh Thu+Hq0-n,Binh Thuan
B+//0Aw//9AKw-nh Thu+//0A4f/9ALr//QCt-n,Binh Thuan
B+//0Aw//9AIw-NH THU+//0A4f/9ALr//QCs-N,Binh Thuan
B+//0A7//9AL///QC9-NH THU+ADw-U+1ED//QA+-N,Binh Thuan
B+//0A7//9AL///QC9-nh Thu+ADw-U+1ED//QA+-n,Binh Thuan
+//0Awv/9AKA-B+//0Aw//9AKw-nh Thu+//0A4f/9ALr//QCt-n,Binh Thuan
+//0Awv/9AKA-B+//0Aw//9AIw-NH THU+//0A4f/9ALr//QCs-N,Binh Thuan
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-NH THU+ADw-U+1ED//QA+-N,Binh Thuan
+//0A7//9AL///QC9-B+//0A7//9AL///QC9-nh Thu+ADw-U+1ED//QA+-n,Binh Thuan
 C+//0Aw//9AIA- MAU,Ca Mau
 C+//0A7//9AL///QC9- MAU,Ca Mau
C+AOA- Mau,Ca Mau
C+//0Aw//9AKA- Mau,Ca Mau
C+//0Aw//9AIA- MAU,Ca Mau
C+//0A7//9AL///QC9- MAU,Ca Mau
C+//0A7//9AL///QC9- Mau,Ca Mau
+//0Awv/9AKA-C+//0Aw//9AKA- Mau,Ca Mau
+//0Awv/9AKA-C+//0Aw//9AIA- MAU,Ca Mau
+//0A7//9AL///QC9-C+//0A7//9AL///QC9- Mau,Ca Mau
+//0A7//9AL///QC9-C+//0A7//9AL///QC9- MAU,Ca Mau
 C+ADw-U+1ED//QA+-N THO,Can Tho
 C+//0A4f/9ALr//QCm-N TH+//0Axv/9AKA-,Can Tho
C+ADw-U+1ED//QA+-N THO,Can Tho
C+ADw-U+1ED//QA+-n Tho,Can Tho
C+Hqc-n Th+AaE-,Can Tho
C+//0A4f/9ALr//QCn-n Th+//0Axv/9AKE-,Can Tho
C+//0A4f/9ALr//QCm-N TH+//0Axv/9AKA-,Can Tho
TP Can Tho,Can Tho
+//0Awv/9AKA-C+//0A4f/9ALr//QCn-n Th+//0Axv/9AKE-,Can Tho
+//0Awv/9AKA-C+//0A4f/9ALr//QCm-N TH+//0Axv/9AKA-,Can Tho
+//0A7//9AL///QC9-C+ADw-U+1ED//QA+-N THO,Can Tho
+//0A7//9AL///QC9-C+ADw-U+1ED//QA+-n Tho,Can Tho
 CAO B+ADw-U+1ED//QA+-NG,Cao Bang
 CAO B+//0A4f/9ALr//QCw-NG,Cao Bang
CAO B+ADw-U+1ED//QA+-NG,Cao Bang
Cao B+ADw-U+1ED//QA+-ng,Cao Bang
Cao B+HrE-ng,Cao Bang
CAO B+//0A4f/9ALr//QCw-NG,Cao Bang
Cao B+//0A4f/9ALr//QCx-ng,Cao Bang
+//0Awv/9AKA-CAO B+//0A4f/9ALr//QCw-NG,Cao Bang
+//0Awv/9AKA-Cao B+//0A4f/9ALr//QCx-ng,Cao Bang
+//0A7//9AL///QC9-CAO B+ADw-U+1ED//QA+-NG,Cao Bang
+//0A7//9AL///QC9-Cao B+ADw-U+1ED//QA+-ng,Cao Bang
 +//0AxP/9AJD//QDD//0AgA- N+//0A4f/9ALr//QC0-NG,Da Nang
 +//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-NG,Da Nang
+ARAA4A- N+HrU-ng,Da Nang
TP Da Nang,Da Nang
+//0Awv/9AKD//QDE//0AkP/9AMP//QCg- N+//0A4f/9ALr//QC1-ng,Da Nang
+//0Awv/9AKD//QDE//0AkP/9AMP//QCA- N+//0A4f/9ALr//QC0-NG,Da Nang
+//0AxP/9AJD//QDD//0AoA- N+//0A4f/9ALr//QC1-ng,Da Nang
+//0AxP/9AJD//QDD//0AgA- N+//0A4f/9ALr//QC0-NG,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-NG,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-ng,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-NG,Da Nang
+//0A7//9AL///QC9//0A7//9AL///QC9//0A7//9AL///QC9- N+ADw-U+1ED//QA+-ng,Da Nang
 +//0AxP/9AJD//QDh//0Auv/9AK4-K L+//0A4f/9ALr//QCu-K,Dak Lak
 +//0A7//9AL///QC9ADw-U+1ED//QA+-K L+ADw-U+1ED//QA+-K,Dak Lak
Dac Lak,Dak Lak
+ARAerw-c L+Hq8-k,Dak Lak
+ARA-ak Lak,Dak Lak
+ARABAw-k L+AQM-k,Dak Lak
+//0Awv/9AKD//QDE//0AkP/9AMT//QCC-K L+//0AxP/9AII-K,Dak Lak
+//0Awv/9AKD//QDE//0AkP/9AOH//QC6//0Arw-k L+//0A4f/9ALr//QCv-k,Dak Lak
+//0AxP/9AJD//QDE//0Agg-K L+//0AxP/9AII-K,Dak Lak
+//0AxP/9AJD//QDh//0Auv/9AK8-k L+//0A4f/9ALr//QCv-k,Dak Lak
+//0AxP/9AJD//QDh//0Auv/9AK4-K L+//0A4f/9ALr//QCu-K,Dak Lak
+//0A7//9AL///QC9ADw-U+1ED//QA+-K L+ADw-U+1ED//QA+-K,Dak Lak
+//0A7//9AL///QC9ADw-U+1ED//QA+-k L+ADw-U+1ED//QA+-k,Dak Lak
+//0A7//9AL///QC9-AK LAK,Dak Lak
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-k L+ADw-U+1ED//QA+-k,Dak Lak
+//0A7//9AL///QC9//0A7//9AL///QC9-AK LAK,Dak Lak
 +//0AxP/9AJD//QDh//0Auv/9AK4-K N+//0Aw//9AJQ-NG,Dak Nong
 +//0A7//9AL///QC9ADw-U+1ED//QA+-K N+//0A7//9AL///QC9-NG,Dak Nong
+ARA-ak N+APQ-ng,Dak Nong
+ARABAw-k N+APQ-ng,Dak Nong
+//0Awv/9AKD//QDE//0AkP/9AOH//QC6//0Arw-k N+//0Aw//9ALQ-ng,Dak Nong
+//0Awv/9AKD//QDE//0AkP/9AOH//QC6//0Arg-C N+//0Aw//9AJQ-NG,Dak Nong
+//0AxP/9AJD//QDh//0Auv/9AK8-k N+//0Aw//9ALQ-ng,Dak Nong
+//0AxP/9AJD//QDh//0Auv/9AK4-C N+//0Aw//9AJQ-NG,Dak Nong
+//0AxP/9AJD//QDh//0Auv/9AK4-K N+//0Aw//9AJQ-NG,Dak Nong
+//0A7//9AL///QC9ADw-U+1ED//QA+-C N+//0A7//9AL///QC9-NG,Dak Nong
+//0A7//9AL///QC9ADw-U+1ED//QA+-K N+//0A7//9AL///QC9-NG,Dak Nong
+//0A7//9AL///QC9ADw-U+1ED//QA+-k N+//0A7//9AL///QC9-ng,Dak Nong
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-C N+//0A7//9AL///QC9-NG,Dak Nong
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-k N+//0A7//9AL///QC9-ng,Dak Nong
+ARA-i+Hsc-n Bi+AOo-n,Dien Bien
+//0Awv/9AKD//QDE//0AkA-i+//0A4f/9ALv//QCH-n Bi+//0Aw//9AKo-n,Dien Bien
+//0Awv/9AKD//QDE//0AkA-I+//0A4f/9ALv//QCG-N BI+//0Aw//9AIo-N,Dien Bien
+//0AxP/9AJA-i+//0A4f/9ALv//QCH-n Bi+//0Aw//9AKo-n,Dien Bien
+//0AxP/9AJA-I+//0A4f/9ALv//QCG-N BI+//0Aw//9AIo-N,Dien Bien
+//0A7//9AL///QC9-I+ADw-U+1ED//QA+-N BI+//0A7//9AL///QC9-N,Dien Bien
+//0A7//9AL///QC9-i+ADw-U+1ED//QA+-n Bi+//0A7//9AL///QC9-n,Dien Bien
+//0A7//9AL///QC9//0A7//9AL///QC9-I+ADw-U+1ED//QA+-N BI+//0A7//9AL///QC9-N,Dien Bien
+//0A7//9AL///QC9//0A7//9AL///QC9-i+ADw-U+1ED//QA+-n Bi+//0A7//9AL///QC9-n,Dien Bien
 +//0AxP/9AJD//QDh//0Au//9AJI-NG NAI,Dong Nai
 +//0A7//9AL///QC9ADw-U+1ED//QA+-NG NAI,Dong Nai
+ARAe0w-ng Nai,Dong Nai
+//0Awv/9AKD//QDE//0AkP/9AOH//QC7//0Akw-ng Nai,Dong Nai
+//0Awv/9AKD//QDE//0AkP/9AOH//QC7//0Akg-NG NAI,Dong Nai
+//0AxP/9AJD//QDh//0Au//9AJM-ng Nai,Dong Nai
+//0AxP/9AJD//QDh//0Au//9AJI-NG NAI,Dong Nai
+//0A7//9AL///QC9ADw-U+1ED//QA+-NG NAI,Dong Nai
+//0A7//9AL///QC9ADw-U+1ED//QA+-ng Nai,Dong Nai
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-NG NAI,Dong Nai
+//0A7//9AL///QC9//0A7//9AL///QC9ADw-U+1ED//QA+-ng Nai,Dong Nai
 +//0AxP/9AJD//QDh//0Au//9AJI-NG TH+//0Aw//9AIE-P,Dong Thap
